hotel_name,description,city,hotel_score,url_hotel,lat,lon
Joyful apartment 2BR6P Heart of Paris - Louvre,"Located in the centre of Paris, just 500 metres from Louvre Museum and 1.3 km from Pompidou Centre, Joyful apartment 2BR6P Heart of Paris - Louvre provides accommodation with city views and free WiFi. This apartment is 2.4 km from Luxembourg Gardens and 1.8 km from Orsay Museum.The apartment consists of 2 bedrooms, a living room, a fully equipped kitchen with a fridge and a coffee machine, and 2 bathrooms with a shower and free toiletries. Towels and bed linen are provided in the apartment.Popular points of interest near the apartment include Notre Dame Cathedral, Sainte-Chapelle and Opéra Garnier. The nearest airport is Paris - Orly Airport, 16 km from Joyful apartment 2BR6P Heart of Paris - Louvre. ",Paris,,https://www.booking.com/hotel/fr/joyful-apartment-2br6p-heart-of-paris-louvre.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9wYXJpc0gNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCjtbhngbAAgHSAiRjOTdlYjI0YS1kNTdhLTQ3YzAtOWE2Ny03NWMyOGZjOGRiMzbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=34210887892d00eb&srepoch=1675127567&from=searchresults#hotelTmpl,48.862383,2.3405099
L'Autel - Balnéo - Sauna - Centre historique,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement L'Autel - Balnéo - Sauna - Centre historique ! Doté d'une baignoire spa, l'établissement L'Autel - Balnéo - Sauna - Centre historique est situé en plein centre de Rouen. Vous séjournerez à 700 mètres de la cathédrale Notre-Dame de Rouen et bénéficierez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.L'appartement comprend une chambre, un salon, une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que 2 salles de bains avec une baignoire ou une douche et un jacuzzi. Les serviettes et le linge de lit sont fournis.Vous pourrez profiter d'un sauna sur place.L'Autel - Balnéo - Sauna - Centre historique se trouve à 700 mètres de la gare de Rouen Rive Droite et à 3,1 km du palais des sports Kindarena de Rouen. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 84 km. ",Rouen,"8,6",https://www.booking.com/hotel/fr/l-39-autel-rouen.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCjtbhngbAAgHSAiQ4NWUwMGY1Yy1hNmQxLTRmOGUtYWM3ZS1kZDVkZDEzMDQ2NGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=133708874959007b&srepoch=1675127567&from=searchresults#hotelTmpl,49.444544,1.091178
Hotel Morand,"L’Hotel Morand est un ancien relais de poste rénové, datant du XVIIe siècle. Cet établissement vous accueille dans le centre historique de Rouen, à 400 mètres de la gare SNCF de Saint-Paul. Une connexion Wi-Fi est disponible gratuitement dans l’ensemble des locaux.Toutes les chambres de l'Hotel Morand sont équipées d'un plateau/bouilloire et d'une télévision à écran plat. Leur salle de bains privative est pourvue d’une douche et d’un sèche-cheveux.Un petit-déjeuner continental est servi tous les matins sur place. Vous pourrez vous détendre dans le salon muni d’une cheminée et de poutres apparentes.Le Morand se trouve en face du musée des Beaux-Arts et à 2 minutes à pied de la cathédrale de Rouen. ",Rouen,"7,3",https://www.booking.com/hotel/fr/lemorand.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCjtbhngbAAgHSAiQ4NWUwMGY1Yy1hNmQxLTRmOGUtYWM3ZS1kZDVkZDEzMDQ2NGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=133708874959007b&srepoch=1675127567&from=searchresults#hotelTmpl,49.44569975,1.094523
Residhotel Lille Vauban,"Le Residhotel Lille Vauban est idéalement installé dans le quartier résidentiel de Vauban, à seulement 20 minutes de marche de la vieille ville de Lille. Il propose des hébergements avec une connexion Wi-Fi gratuite.Les studios comprennent une télévision à écran plat, un bureau et une kitchenette avec une machine à café Nespresso. Les appartements possèdent une cuisine avec une machine à café Nespresso, un coin repas et une pièce à vivre. Chaque logement dispose d'une salle de bains privative.Moyennant un supplément, vous pourrez déguster un petit-déjeuner buffet.Enfin, depuis l'appart'hôtel Residhotel Lille Vauban, vous rejoindrez les 45 hectares du bois de Boulogne en seulement 10 minutes à pied, tandis que la Grand'Place et le centre de conventions Nouveau Siècle sont accessibles à 20 minutes de marche. ",Lille,"7,6",https://www.booking.com/hotel/fr/residhotel-lille-vauban.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9saWxsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCjtbhngbAAgHSAiQwMDA3MmIwNS04NWU1LTQ2MTktYmVjMS1iODNjOTJkYTA3OTLYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=eee1088772880130&srepoch=1675127567&from=searchresults#hotelTmpl,50.63220722,3.04668635
Escale Oceania Saint Malo,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Escale Oceania Saint Malo ! L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. Il propose des chambres modernes, une terrasse bien exposée et un service de restauration 24h/24.Toutes les chambres disposent d'une télévision à écran plat. Certaines offrent une vue sur la mer. La connexion Wi-Fi est gratuite.Vous profiterez gratuitement d'un ordinateur connecté à Internet et d'une imprimante. Un service de location de vélos est par ailleurs assuré.L'Escale Oceania Saint Malo sert un petit-déjeuner tous les matins, et vous pourrez également dîner sur place. Des collations sont proposées tout au long de la journée, tandis que des paniers-repas peuvent être préparés si vous souhaitez pique-niquer. ",St Malo,"8,0",https://www.booking.com/hotel/fr/mascottesaintmalo.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuAKO1uGeBsACAdICJDE2Yjk4MThlLTBkNjMtNGU3NS04ZDQ1LTllYmU2NWMwMDIyZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=c9730887e7df0161&srepoch=1675127567&from_beach_sr=1&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.65428009,-2.00883776
2 Appt Médié Lounge - Médié Old - par Beds76,"Situé dans le centre de Rouen, à 600 mètres de la cathédrale Notre-Dame et à 1,3 km de la gare de Rouen Rive Droite, le 2 Appt Médié Lounge - Médié Old - par Beds76 propose des hébergements avec connexion Wi-Fi et parking privé gratuits.Offrant une vue sur la ville, les logements comprennent un coin salon, un lave-linge, une cuisine entièrement équipée avec un réfrigérateur ainsi qu'une salle de bains privative pourvue d'articles de toilette gratuits et d'un sèche-cheveux. Un four, un micro-ondes, des plaques de cuisson, une machine à café et une bouilloire sont également fournis.Vous séjournerez à 3,4 km de la gare de Voltaire et à 4 km du palais des sports Kindarena. L'aéroport de Beauvais-Tillé, le plus proche, est implanté à 83 km. ",Rouen,"8,9",https://www.booking.com/hotel/fr/medie-lounge.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDHNlYXJjaF9yb3VlbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCjtbhngbAAgHSAiQ4NWUwMGY1Yy1hNmQxLTRmOGUtYWM3ZS1kZDVkZDEzMDQ2NGbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=133708874959007b&srepoch=1675127567&from=searchresults#hotelTmpl,49.4416755,1.1006621
Apartment Le 1727,"Situé à seulement 5 minutes à pied de la plage, l'Apartment Le 1725 - Le 1727 propose un hébergement à Saint-Malo, dans un bâtiment historique construit en 1727. Vous séjournerez à 600 mètres du casino de la ville et à 800 mètres de l'Espace Duguay Trouin.Cet appartement se compose de 3 chambres indépendantes, dont une suite avec une douche et une autre suite munie d'une baignoire.Des bars, des restaurants et des magasins se trouvent à proximité de l'appartement.De nombreuses activités sont possibles dans les environs, comme les sports nautiques, la randonnée et le vélo. Vous séjournerez à 8 minutes de route de la gare de Saint-Malo et à 8 km de l'aéroport de Dinard-Bretagne. Un parking public est disponible à quelques pas. ",St Malo,"9,7",https://www.booking.com/hotel/fr/apartment-le-1725-1727.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdCBtYWxvSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuAKO1uGeBsACAdICJDE2Yjk4MThlLTBkNjMtNGU3NS04ZDQ1LTllYmU2NWMwMDIyZtgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=c9730887e7df0161&srepoch=1675127567&from_beach_sr=1&from=searchresults#hotelTmpl,48.646808,-2.024251
Au Bonheur des Anges Appartement 2 chambres avec terrasse,"L'établissement Au Bonheur des Anges Appartement 2 chambres avec terrasse est situé à Colmar, à 700 mètres de la Maison des Têtes et à 450 mètres de la collégiale Saint-Martin. Vous séjournerez à 4,1 km du parc des expositions Colmar Expo.Cet appartement de 2 chambres donne accès à une terrasse avec vue sur la ville.  Ce logement comprend un coin salon ainsi qu'une cuisine équipée d'un four et d'un lave-vaisselle.La Petite Venise de Colmar se trouve à 100 mètres. L'aéroport de Bâle-Mulhouse-Fribourg, le plus proche, est implanté à 58 km. ",Colmar,"9,1",https://www.booking.com/hotel/fr/au-bonheur-des-anges-colmar.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Ao_W4Z4GwAIB0gIkZWZlN2JkMmUtY2UxYS00NDBmLTgxOTItYjcwZGYzMTA5MTA02AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=921f0887a89801d5&srepoch=1675127568&from=searchresults#hotelTmpl,48.073889,7.356363
Suites Residences Spa,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Suites Residences Spa ! Situé à 300 mètres du centre de Colmar, le Suites Residences Spa propose un service de prêt de vélos et une terrasse. La connexion Wi-Fi est gratuite.Offrant une vue sur la ville, l'appartement comprend une terrasse, un coin salon, une télévision par satellite à écran plat, une cuisine entièrement équipée avec un réfrigérateur et un four ainsi qu'une salle de bains privative avec une douche et des articles de toilette gratuits. Un micro-ondes, des plaques de cuisson, un grille-pain, une machine à café et une bouilloire sont également fournis.Un petit-déjeuner continental est servi chaque matin au Suites Residences Spa.Cet établissement 5 étoiles possède un jacuzzi et un spa.Le Suites Residences Spa assure un service de location de voitures. Vous pourrez pratiquer la randonnée et le ski dans les environs.Vous séjournerez à proximité de la Maison des Têtes, de la collégiale Saint-Martin et de la gare de Colmar. L'aéroport le plus proche, celui de Bâle-Mulhouse-Fribourg, est situé à 55 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires. ",Colmar,"8,4",https://www.booking.com/hotel/fr/suites-residences-spa.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Ao_W4Z4GwAIB0gIkZWZlN2JkMmUtY2UxYS00NDBmLTgxOTItYjcwZGYzMTA5MTA02AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=921f0887a89801d5&srepoch=1675127568&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,48.07900192,7.35450824
Les Appartements Saint-Martin,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Les Appartements Saint-Martin ! Offrant une vue sur la ville, cette chambre dispose d'une terrasse et d'une connexion Wi-Fi gratuite. L'établissement Les Appartements Saint-Martin propose des hébergements idéalement situés à Colmar, à proximité de la collégiale Saint-Martin, de la gare et de la maison des Têtes.Tous les logements comprennent un coin salon, une télévision à écran plat, un lave-linge ainsi qu'une salle de bains privative pourvue d'une douche et d'un sèche-cheveux. Leur cuisine entièrement équipée comporte un micro-ondes, un réfrigérateur, un four, une bouilloire et une machine à café.Vous séjournerez à 3,8 km du parc des expositions Colmar Expo et à 28 km du château du Haut Koenigsbourg. L'aéroport de Bâle, le plus proche, est implanté à 57 km. ",Colmar,"9,4",https://www.booking.com/hotel/fr/les-appartements-saint-martin.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Ao_W4Z4GwAIB0gIkZWZlN2JkMmUtY2UxYS00NDBmLTgxOTItYjcwZGYzMTA5MTA02AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=921f0887a89801d5&srepoch=1675127568&from=searchresults#hotelTmpl,48.07727504,7.35707672
"Appartement très calme, terrasse & jardin en ville","Doté d'un jardin, d'une terrasse et d'un bar, l'Appartement très calme, terrasse & jardin en ville propose un hébergement avec une connexion Wi-Fi gratuite et une vue sur le jardin à Besançon. Vous bénéficierez d'un parking privé gratuit et d'un service de concierge.Doté d'une console de jeux, l'appartement comprend 2 chambres, un salon, un coin repas ainsi qu'une cuisine équipée d'un réfrigérateur, d'un four et d'un lave-vaisselle. Sa salle de bains est pourvue d'une baignoire. Les serviettes et le linge de lit sont fournis.Vous séjournerez à proximité de la gare de Besançon-Viotte, du musée du temps de Besançon et du musée des beaux-arts et archéologie de Besançon. L'aéroport de Dole-Jura, le plus proche, est implanté à 59 km. ",Besancon,,https://www.booking.com/hotel/fr/appartement-tres-calme-terrasse-amp-jardin-en-ville.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9iZXNhbmNvbkgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCj9bhngbAAgHSAiQ1OGFhMTU5Mi1lNTc3LTRmZDAtYjM5NS1jYjA4ZjZkMTYyYzbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=91a408872301002a&srepoch=1675127568&from=searchresults#hotelTmpl,47.23962506,6.01017403
James Vignoble Hôtel - Eguisheim,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement James Vignoble Hôtel - Eguisheim ! Le James Vignoble Hôtel - Eguisheim vous accueille en plein cœur du vignoble d'Eguisheim. Il offre une vue spectaculaire sur la Forêt-Noire.L'établissement est équipé de deux piscines dont une extérieure chauffée à 29°C (Fermée en hiver, ouverte selon les conditions climatiques et les saisons). L’espace détente est ouvert et dispose d'une piscine couverte chauffée à 29°C. Il comprend également un bain à remous et un sauna panoramique. L'accès est gratuit pour les clients de l'hôtel. Des peignoirs, des serviettes et des tongs sont proposés à la réception, moyennant des frais supplémentaires.Les 31 chambres meublées sont pourvues d’une salle de bains privative. Chaque chambre est équipée d'une télévision, d'un téléphone, de la climatisation et d'un minibar.Un petit-déjeuner buffet, composé de mets sucrés et salés, est servi tous les matins. Le petit-déjeuner doit être réservé à l’arrivée. La connexion Wi-Fi est gratuite dans l’ensemble des locaux.Le stationnement est payant sur place. Vous trouverez plusieurs restaurants à moins de 5 minutes de marche. Le marché de Noël d’Eguisheim se trouve à 500 mètres. ",Eguisheim,"8,6",https://www.booking.com/hotel/fr/saint-hubert-eguisheim.fr.html?aid=304142&label=gen173nr-1FCAQoggJCEHNlYXJjaF9lZ3Vpc2hlaW1IDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Ao_W4Z4GwAIB0gIkZjBiMWFkMTAtODFlZi00YzZmLThhMTUtZTE0MTZhMzlkNzA42AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=4b3508870324009b&srepoch=1675127568&from=searchresults#hotelTmpl,48.04496277,7.30157845
Brit Hotel Suisse et Bordeaux - Centre Gare,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Brit Hotel Suisse et Bordeaux - Centre Gare ! Le Brit Hôtel Suisse et Bordeaux - Centre Gare est situé à proximité d’une rue piétonne et commerçante du centre-ville de Grenoble. Il propose des chambres avec salle de bains privative et connexion Wi-Fi gratuite, ainsi que des salles de réunion équipées d'un projecteur et d'un tableau à feuilles mobiles. La gare se trouve à 100 mètres.Dotées de fenêtres à double vitrage, toutes les chambres comprennent une salle de bains privative et une télévision connectée à écran LCD avec des chaînes internationales. Un sèche-cheveux est disponible à la réception ouverte 24h/24.Un petit-déjeuner buffet est servi chaque matin dans la salle climatisée prévue à cet effet. Le musée de Grenoble est à 1,5 km de l'hôtel, et la cathédrale est accessible en 20 minutes de marche.Vous séjournerez à 1 km du téléphérique de Grenoble-Bastille et à 2,5 km du Palais des sports. L’hôtel se trouve, en outre, à 40 mètres d'un arrêt de tramway et à 35 minutes de route de l'aéroport de Grenoble-Isère. Un parking intérieur privé est disponible sur place. ",Grenoble,"7,7",https://www.booking.com/hotel/fr/suisse-et-bordeaux.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCj9bhngbAAgHSAiQxZDZhNTY4ZS1kNGZiLTQ3ZTktOTc3Ny0yNjJhZTg1ZGRkZWbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=241b08870910009f&srepoch=1675127568&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,45.19051921,5.71601942
Hôtel du Château,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Hôtel du Château ! Offrant une vue sur la vieille ville, l’Hotel du Chateau est situé au pied du château d’Annecy. Sa réception est dotée d’une connexion Wi-Fi gratuite.Décorées avec simplicité, les chambres comprennent une télévision, un téléphone et une salle de bains privative. L’Hotel du Chateau sert un petit-déjeuner continental chaque matin. Vous pourrez également déguster un verre ou un panier-repas sur la terrasse panoramique de l’hôtel, équipée d’un micro-ondes et d’ustensiles de cuisine.Enfin, l’Hotel du Chateau se trouve à 5 minutes à pied du lac d’Annecy et à seulement 10 minutes de marche de la gare. ",Annecy,"8,5",https://www.booking.com/hotel/fr/du-chateau-annecy.fr.html?aid=304142&label=gen173nr-1FCAQoggJCDXNlYXJjaF9hbm5lY3lIDVgEaE2IAQGYAQ24AQrIAQXYAQHoAQH4AQaIAgGoAgO4Ao_W4Z4GwAIB0gIkMjQ3YTZiNGYtNTVhMS00YzVlLWEwMGItNGRhYTFlODVkYzM12AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=44c20887d1750063&srepoch=1675127568&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,45.89789347,6.12520516
Residhotel Le Central'Gare,"Le Residhotel Le Central'Gare propose des hébergements indépendants avec une connexion Wi-Fi gratuite. Situé en face de la gare de Grenoble ainsi qu'à proximité de la place Grenette et de son atmosphère animée, l'établissement est très bien desservi par les transports en commun. Il possède une réception ouverte 24h/24 ainsi qu'une salle de réunion pouvant accueillir des réceptions ou des séminaires.Tous les logements du Residhotel Le Central'Gare sont équipés d'un micro-ondes, d'un réfrigérateur, d'une machine à café, de plaques de cuisson et d'une bouilloire. Ils disposent aussi de la climatisation, d'un coin salon et d'une télévision à écran plat.Le Residhotel Le Central'Gare sert un petit-déjeuner continental. Il se trouve à 10 minutes de marche du cœur de la ville, avec ses boutiques, ses musées et ses restaurants. Vous pourrez aussi vous y rendre en prenant le tramway à l'arrêt qui se situe juste devant l'hôtel.L'aéroport le plus proche, l'aéroport de Grenoble Isère, est à 35 km. Un nombre limité de places de parking est disponible sur réservation et moyennant des frais supplémentaires. ",Grenoble,"7,7",https://www.booking.com/hotel/fr/residhotel-le-central-gare.fr.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgNWARoTYgBAZgBDbgBCsgBBdgBAegBAfgBBogCAagCA7gCj9bhngbAAgHSAiQxZDZhNTY4ZS1kNGZiLTQ3ZTktOTc3Ny0yNjJhZTg1ZGRkZWbYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=241b08870910009f&srepoch=1675127568&from=searchresults#hotelTmpl,45.19085898,5.71572438
Séjours & Affaires Lyon Saint-Nicolas,"Le Séjours & Affaires Lyon Saint-Nicolas se situe dans le centre-ville de Lyon, à 750 mètres de la gare ferroviaire de Lyon-Part-Dieu.Les studios et appartements possèdent une kitchenette munie d'équipements, d'un réfrigérateur et d'un micro-ondes, une connexion Wi-Fi gratuite, un bureau, une salle de bains privative ainsi qu'une télévision.L'établissement assure gracieusement une prestation de ménage hebdomadaire et comporte une salle de réunion. Les services hôteliers organisés moyennant un supplément comptent le parking et la blanchisserie.Vous rejoindrez directement la place Bellecour et le Vieux Lyon depuis la station de métro Garibaldi accessible à 700 mètres. ",Lyon,"7,2",https://www.booking.com/hotel/fr/sejours-affaires-lyon-saint-nicolas.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuAKQ1uGeBsACAdICJDA3Y2I1MDZkLTM3YmMtNGQxMi05MTI3LTVhNGFlNDcwODE3ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=bdef0888ec610286&srepoch=1675127569&from=searchresults#hotelTmpl,45.75423705,4.85908985
Camping Calme et Nature,"Vous pouvez bénéficier d'une réduction Genius dans l'établissement Camping Calme et Nature ! Le Camping Calme et Nature est situé au cœur des Gorges du Verdon, à 765 mètres d'altitude et à seulement 2 km de Castellane. Il possède un barbecue et une terrasse bien exposée. Il est situé dans le parc naturel régional du Verdon. La connexion Wi-Fi est gratuite.Tous les logements comportent un coin salon/repas. Leur kitchenette est équipée d'un micro-ondes, d'un réfrigérateur, d'un coin salon et/ou d'une terrasse. Leur salle de bains privative est pourvue d'une douche.Vous pourrez prendre un verre au bar et jouer au tennis de table sur place. Un service de prêt de vélos est assuré. Vous rejoindrez le village de Castellane par le sentier de randonnée GR4, accessible à pied ou en vélo.Grasse est accessible à 66 km du Camping Calme et Nature, tandis que Gréoux-les-Bains se trouve à 77 km. L'aéroport le plus proche, celui de Nice-Côte d'Azur, se situe à 86 km. ",Gorges du Verdon,"8,8",https://www.booking.com/hotel/fr/calme-et-nature-castellane.fr.html?aid=304142&label=gen173nr-1FCAQoggJCF3NlYXJjaF9nb3JnZXMgZHUgdmVyZG9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuAKQ1uGeBsACAdICJDczMThkMjE2LWNmMjEtNDNiYS04ZWE5LTdjMzdkYmZiYWIxONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=287e0888eb6301a7&srepoch=1675127569&from=searchresults#hotelTmpl,43.83796907,6.49042815
Hotel ParkSaône,"L'Hotel ParkSaône se situe sur la rive de la Saône à Lyon. Vous pourrez profiter d'un restaurant sur place, d'un bar et d'une terrasse. Vous profiterez d'une connexion Wi-Fi gratuite dans l'ensemble des locaux.Les chambres climatisées disposent d'un plateau de boissons chaudes et d'une télévision à écran plat avec les chaînes Canal+ et beIN Sports. Elles sont dotées d'une salle de bains privative pourvue d'un sèche-cheveux et d'articles de toilette gratuits.La réception de l'établissement est ouverte 24h/24.Le centre de conventions vous attend à 2,7 km. L'aéroport de Lyon-Saint Exupéry, le plus proche, est installé à 22 km. ",Lyon,"8,6",https://www.booking.com/hotel/fr/parksaone.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuAKQ1uGeBsACAdICJDA3Y2I1MDZkLTM3YmMtNGQxMi05MTI3LTVhNGFlNDcwODE3ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=bdef0888ec610286&srepoch=1675127569&from=searchresults#hotelTmpl,45.79229162,4.81869468
Warwick Reine Astrid - Lyon,"Bénéficiant d'une salle de sport avec un sauna, le Warwick Reine Astrid propose des hébergements à Lyon, en face du parc de la Tête d'Or, à proximité de la Cité Internationale et du centre-ville. La connexion Wi-Fi est gratuite.Toutes les chambres et les suites climatisées de l'établissement sont dotées d'une cuisine et d'une télévision par câble à écran plat. La plupart donnent sur le parc ou sur le jardin paysager du Reine Astrid.Le bar-restaurant Le Lounge de l'établissement prépare une cuisine gastronomique basée sur les recettes traditionnelles françaises. En été, vous savourerez vos repas sur la terrasse.Cet hôtel vous place à seulement 2 km de la gare de Lyon Part-Dieu et à 10 minutes à pied de la station de métro Masséna, vous permettant ainsi de découvrir aisément la ville de Lyon. Un parking privé payant est présent sur place. ",Lyon,"8,4",https://www.booking.com/hotel/fr/la-reine-astrid.fr.html?aid=304142&label=gen173nr-1FCAQoggJCC3NlYXJjaF9seW9uSA1YBGhNiAEBmAENuAEKyAEF2AEB6AEB-AEGiAIBqAIDuAKQ1uGeBsACAdICJDA3Y2I1MDZkLTM3YmMtNGQxMi05MTI3LTVhNGFlNDcwODE3ONgCBeACAQ&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=bdef0888ec610286&srepoch=1675127569&from=searchresults#hotelTmpl,45.77493176,4.84766364
